Origem;Título;Palestrante
1ª PAL. DE 2021;Tradução de musicais;Victor Mühlethaler
CULT-Estácio;Tradução de textos da área médica: uma receita de sucesso;Ana Julia Perrotti
CULT-Estácio;Como se especializar em tradução audiovisual;César Alarcón
CULT-Estácio;Localização em marketing: mais do que apenas criatividade;Juliana Lima
CULT-Estácio;A importância da especialização na tradução da área médica;Luciana Bonancio
Curso SDL Studio;Parte 1;BabelDGT
Curso SDL Studio;Parte 2;BabelDGT
Curso SDL Studio;Intermediário;BabelDGT
Dica;Pausa;Renata Cassemiro
Dica;Celular;Renata Cassemiro
Dica;Monitor;Renata Cassemiro
Dica;Alongamento;Renata Cassemiro
Especial;Precisamos falar sobre investimentos;Isabela Fontanella
Especial;Como planejar uma boa aposentadoria;Isabela Fontanella
Especial finanças;Organizando sua vida financeira;Isabela Fontanella
Especial ITD 2020;Marketing pessoal e negociação para tradutores;André Ribeiro
Especial ITD 2020;T101 explica WordFast;Daniel Estill
Especial ITD 2020;Mais organização e produtividade? Tecnologia é a resposta!;Fernanda Rocha
Especial ITD 2020;Lançamento do PED4TI;Gilson Mattos
Especial ITD 2020;O mundo não te odeia;Kelly Elizeu
Especial ITD 2020;Tradução científica: trajetória, especialização e peculiaridades;Laurieny e Marina
Especial ITD 2020;T101 explica XBench;Mitsue Siqueira
Especial ITD 2020;O tradutor para dublagem, o texto traduzido e o estúdio;Paulo Noriega
Especial ITD 2020;T101 explica SDL Studio;SDL - Babel
Especial ITD 2020;T101 explica memoQ;Val Ivonica
Especial ITD 2023;Como traduzir sem perder tempo com pesquisas;Ascanio Roquette
Especial ITD 2023;Golpes: é possível se prevenir?;Francine Oliveira
Especial ITD 2023;Tradução X Versão Brasileira: diferenças e importância do seu texto no dia a dia dos profissionais de dublagem;Leo Pinheiro
Especial ITD 2023;Técnicas de pesquisa para tradutores;Raphael Corrêa
EXCLUSIVO;A tradução de musicais;Mariana Elisabetsky
EXCLUSIVO;Provas de certificação da Abrates;Ricardo Souza
i2B;O que leva a uma carreira bem-sucedida na tradução?;William Cassemiro
IOGA;Cuidados com face, ombros, braços, mãos e cadeira;Mariana Paz
